id,name,emoji,funFact
a,A - Apple,🍎,A is the first letter and makes the 'ah' sound!
b,B - Ball,⚽,B makes a 'buh' sound like in ball and bear!
c,C - Cat,🐱,C can sound like 'k' in cat or 's' in city!
d,D - Dog,🐶,D makes a 'duh' sound like in dog and dance!
e,E - Elephant,🐘,E is the most common letter in English!
f,F - Fish,🐟,F makes a 'fff' sound by blowing air!
g,G - Grapes,🍇,G can be hard like in 'go' or soft like in 'giraffe'!
h,H - Hat,🎩,H makes a breathy 'huh' sound!
i,I - Ice Cream,🍦,I can say its name like in 'ice' or say 'ih' like in 'igloo'!
j,J - Jellyfish,🪼,J makes a 'juh' sound like in jump and joy!
k,K - Kite,🪁,K makes the same sound as hard C!
l,L - Lion,🦁,L makes a smooth 'lll' sound with your tongue!
m,M - Moon,🌙,M makes a humming 'mmm' sound!
n,N - Nest,🪺,N makes a 'nnn' sound through your nose!
o,O - Orange,🍊,O is shaped like a circle and can say its name!
p,P - Penguin,🐧,P makes a popping 'puh' sound!
q,Q - Queen,👸,Q almost always has U right after it!
r,R - Rainbow,🌈,R makes a 'rrr' sound at the back of your mouth!
s,S - Star,⭐,S makes a hissing 'sss' sound like a snake!
t,T - Tree,🌳,T makes a 'tuh' sound with the tip of your tongue!
u,U - Umbrella,☂️,U can say 'uh' like in umbrella or its name like in 'unicorn'!
v,V - Violin,🎻,V makes a buzzing 'vvv' sound!
w,W - Watermelon,🍉,W is called 'double-u' because it looks like two U's!
x,X - Xylophone,🎵,X usually makes a 'ks' sound like in 'fox'!
y,Y - Yacht,⛵,Y can be a consonant or a vowel!
z,Z - Zebra,🦓,Z is the last letter and makes a 'zzz' sound!
