id,name,emoji,funFact
eagle,Eagle,🦅,Eagles have eyesight 4 times better than humans!
parrot,Parrot,🦜,Parrots can learn to talk and repeat words!
penguin,Penguin,🐧,Penguins are birds that cannot fly but swim amazingly!
owl,Owl,🦉,Owls can turn their heads almost 270 degrees!
flamingo,Flamingo,🦩,Flamingos are pink because of the shrimp they eat!
peacock,Peacock,🦚,Male peacocks have beautiful colorful tail feathers!
duck,Duck,🦆,Ducks have waterproof feathers!
swan,Swan,🦢,Swans mate for life with one partner!
turkey,Turkey,🦃,Turkeys can run at 25 miles per hour!
rooster,Rooster,🐓,Roosters crow to announce the morning!
dove,Dove,🕊️,Doves are symbols of peace around the world!
hummingbird,Hummingbird,🐦,Hummingbirds can fly backwards!
woodpecker,Woodpecker,🐦,Woodpeckers can peck 20 times per second!
pelican,Pelican,🐦,Pelicans have huge pouches to catch fish!
toucan,Toucan,🐦,Toucans have very large colorful beaks!
ostrich,Ostrich,🐦,Ostriches are the largest birds and cannot fly!
robin,Robin,🐦,Robins are often the first birds to sing in morning!
sparrow,Sparrow,🐦,Sparrows can be found on every continent except Antarctica!
crow,Crow,🐦,Crows are one of the smartest birds!
seagull,Seagull,🐦,Seagulls can drink salt water!
stork,Stork,🐦,Storks can have wingspans of over 6 feet!
kingfisher,Kingfisher,🐦,Kingfishers dive into water to catch fish!
falcon,Falcon,🦅,Falcons are the fastest birds - over 200 mph!
canary,Canary,🐦,Canaries were used in mines to detect dangerous gas!
bluebird,Bluebird,🐦,Bluebirds are symbols of happiness!
