id,name,emoji,funFact
eyes,Eyes,👀,Your eyes can see about 10 million different colors!
nose,Nose,👃,Your nose can remember 50000 different smells!
mouth,Mouth,👄,You use 200 muscles to take one step but only 17 to smile!
ear,Ear,👂,Your ears never stop working even when you sleep!
hand,Hand,✋,You have 27 bones in each hand!
foot,Foot,🦶,Your feet have 250000 sweat glands!
brain,Brain,🧠,Your brain uses 20% of all your body's energy!
heart,Heart,❤️,Your heart beats about 100000 times every day!
tongue,Tongue,👅,Your tongue has about 10000 taste buds!
teeth,Teeth,🦷,Teeth are as hard as rocks!
finger,Finger,👆,Your fingerprints are unique - no one else has the same!
thumb,Thumb,👍,Your thumb has its own pulse!
knee,Knee,🦵,Your knee is the biggest joint in your body!
elbow,Elbow,💪,You cannot lick your own elbow!
shoulder,Shoulder,🤷,Your shoulder is the most flexible joint!
stomach,Stomach,🫃,Your stomach gets a new lining every few days!
lungs,Lungs,🫁,Your lungs have about 300 million tiny air sacs!
bones,Bones,🦴,Babies have 300 bones but adults only have 206!
skin,Skin,🖐️,Skin is the largest organ of your body!
hair,Hair,💇,Your hair grows about 6 inches every year!
eyebrow,Eyebrow,🤨,Eyebrows keep sweat out of your eyes!
eyelash,Eyelash,👁️,Eyelashes protect your eyes from dust!
chin,Chin,🗣️,Only humans have chins!
neck,Neck,🦒,Your neck has the same number of bones as a giraffe!
belly,Belly Button,🫄,Your belly button is your first scar!
