id,name,emoji,funFact,color
red,Red,🔴,Fire trucks and stop signs are red!,#ef4444
blue,Blue,🔵,The sky and ocean are blue!,#3b82f6
yellow,Yellow,🟡,The sun and bananas are yellow!,#eab308
green,Green,🟢,Grass and leaves are green!,#22c55e
purple,Purple,🟣,Purple was once only worn by kings and queens!,#a855f7
orange,Orange,🟠,Oranges and carrots are orange!,#f97316
pink,Pink,🩷,Flamingos and cotton candy are pink!,#ec4899
brown,Brown,🟤,Chocolate and tree trunks are brown!,#a16207
black,Black,⚫,Night time and space are black!,#1f2937
white,White,⚪,Snow and clouds are white!,#f8fafc
gray,Gray,🩶,Elephants and rain clouds are gray!,#6b7280
gold,Gold,🥇,Gold medals are for first place winners!,#eab308
silver,Silver,🥈,Silver medals are for second place!,#9ca3af
cyan,Cyan,🩵,Cyan is a blue-green color like tropical water!,#06b6d4
magenta,Magenta,💜,Magenta is a mix of red and purple!,#d946ef
turquoise,Turquoise,💎,Turquoise is the color of beautiful gemstones!,#14b8a6
navy,Navy Blue,🫐,Navy blue is a very dark blue like the deep ocean!,#1e3a8a
coral,Coral,🪸,Coral is a pinkish-orange like sea coral!,#f87171
teal,Teal,🦆,Teal is named after the color around a duck's eye!,#0d9488
maroon,Maroon,🫀,Maroon is a dark brownish-red color!,#7f1d1d
