id,name,emoji,funFact,color
apple,Apple,🍎,An apple a day keeps the doctor away!,#ef4444
banana,Banana,🍌,Bananas are great for energy and have no fat!,#eab308
grapes,Grapes,🍇,Grapes can be red green or purple!,#a855f7
orange,Orange,🍊,Oranges are full of vitamin C to keep you healthy!,#f97316
strawberry,Strawberry,🍓,Strawberries are the only fruit with seeds on the outside!,#ef4444
watermelon,Watermelon,🍉,Watermelons are 92% water - perfect for summer!,#22c55e
peach,Peach,🍑,Peaches are fuzzy on the outside and sweet inside!,#fb923c
cherry,Cherry,🍒,Cherries always grow in pairs!,#dc2626
pineapple,Pineapple,🍍,It takes 2-3 years to grow one pineapple!,#eab308
mango,Mango,🥭,Mango is called the King of Fruits!,#f97316
kiwi,Kiwi,🥝,Kiwis have more vitamin C than oranges!,#22c55e
lemon,Lemon,🍋,Lemons can power a small light bulb!,#fde047
coconut,Coconut,🥥,Coconuts can float in the ocean for months!,#a16207
pear,Pear,🍐,Pears ripen better off the tree than on it!,#84cc16
blueberry,Blueberry,🫐,Blueberries are one of the healthiest foods!,#3b82f6
melon,Melon,🍈,Melons are related to cucumbers!,#86efac
avocado,Avocado,🥑,Avocados are actually a fruit not a vegetable!,#22c55e
pomegranate,Pomegranate,🫒,A pomegranate can have over 600 seeds!,#dc2626
papaya,Papaya,🧡,Papayas were called fruit of angels!,#fb923c
plum,Plum,🫐,Dried plums are called prunes!,#7c3aed
apricot,Apricot,🍑,Apricots have been grown for over 4000 years!,#fb923c
fig,Fig,🫒,Figs are one of the oldest fruits known to humans!,#7c3aed
dragonfruit,Dragon Fruit,🐉,Dragon fruit comes from a cactus!,#ec4899
passionfruit,Passion Fruit,💜,Passion fruit has over 200 seeds inside!,#7c3aed
guava,Guava,🍈,Guava has 4 times more vitamin C than oranges!,#84cc16
