id,name,emoji,funFact
num-1,1 - One,1️⃣,One is the loneliest number - but also the first!
num-2,2 - Two,2️⃣,Two eyes two ears two hands - we have pairs!
num-3,3 - Three,3️⃣,Three is a magic number in many stories!
num-4,4 - Four,4️⃣,Four seasons: spring summer fall and winter!
num-5,5 - Five,5️⃣,You have five fingers on each hand!
num-6,6 - Six,6️⃣,Insects have six legs!
num-7,7 - Seven,7️⃣,Seven days make one week!
num-8,8 - Eight,8️⃣,Spiders have eight legs!
num-9,9 - Nine,9️⃣,Cats are said to have nine lives!
num-10,10 - Ten,🔟,Ten toes on your feet!
num-11,11 - Eleven,1️⃣1️⃣,Eleven is the first double-digit prime number!
num-12,12 - Twelve,1️⃣2️⃣,Twelve months make one year!
num-13,13 - Thirteen,1️⃣3️⃣,A baker's dozen is 13!
num-14,14 - Fourteen,1️⃣4️⃣,Fourteen days make two weeks!
num-15,15 - Fifteen,1️⃣5️⃣,A quarter hour is 15 minutes!
num-16,16 - Sixteen,1️⃣6️⃣,Sixteen ounces make one pound!
num-17,17 - Seventeen,1️⃣7️⃣,Seventeen is a lucky prime number!
num-18,18 - Eighteen,1️⃣8️⃣,A golf course has 18 holes!
num-19,19 - Nineteen,1️⃣9️⃣,Nineteen is the last teen number!
num-20,20 - Twenty,2️⃣0️⃣,You have 20 baby teeth!
num-0,0 - Zero,0️⃣,Zero means nothing but is very important!
num-50,50 - Fifty,5️⃣0️⃣,Half of 100 is 50!
num-100,100 - Hundred,💯,One hundred pennies make one dollar!
