id,name,emoji,funFact
circle,Circle,🔴,A circle has no corners and no edges!
square,Square,🟧,A square has 4 equal sides and 4 corners!
triangle,Triangle,🔺,A triangle is the strongest shape in building!
star,Star,⭐,Stars twinkle in the night sky!
heart,Heart,❤️,The heart shape means love!
diamond,Diamond,💎,Diamonds are the hardest natural material!
rectangle,Rectangle,🟩,A rectangle has 2 long sides and 2 short sides!
oval,Oval,🥚,An oval is like a stretched circle - like an egg!
pentagon,Pentagon,⬟,A pentagon has 5 sides - like a house shape!
hexagon,Hexagon,⬡,Hexagons have 6 sides - bees make hexagon honeycombs!
octagon,Octagon,🛑,An octagon has 8 sides - like a stop sign!
crescent,Crescent,🌙,A crescent is shaped like the moon!
arrow,Arrow,➡️,Arrows point the way to go!
cross,Cross,➕,A cross is made of two lines crossing!
spiral,Spiral,🌀,Spirals spin round and round like a snail shell!
cube,Cube,🧊,A cube is a 3D square - like a dice!
sphere,Sphere,🔮,A sphere is a 3D circle - like a ball!
cylinder,Cylinder,🥫,A cylinder is like a can or a tube!
cone,Cone,🍦,A cone is like an ice cream cone shape!
pyramid,Pyramid,🔺,Pyramids were built in Egypt thousands of years ago!
