id,name,emoji,funFact
car,Car,🚗,The first car was invented over 130 years ago!
bus,Bus,🚌,Some buses can carry over 100 passengers!
train,Train,🚂,The fastest trains can go over 300 miles per hour!
airplane,Airplane,✈️,Airplanes fly at about 30000 feet high!
boat,Boat,⛵,Sailboats use wind power to move!
bicycle,Bicycle,🚲,Bicycles have been around for over 200 years!
helicopter,Helicopter,🚁,Helicopters can fly backwards and sideways!
rocket,Rocket,🚀,Rockets can travel at 25000 miles per hour!
firetruck,Fire Truck,🚒,Fire trucks carry over 500 gallons of water!
ambulance,Ambulance,🚑,Ambulances help sick people get to hospitals fast!
policeCar,Police Car,🚓,Police cars help keep our streets safe!
taxi,Taxi,🚕,Yellow taxis are famous in New York City!
motorcycle,Motorcycle,🏍️,Motorcycles have only 2 wheels like bicycles!
truck,Truck,🚚,Big trucks can carry tons of cargo!
tractor,Tractor,🚜,Tractors help farmers work in fields!
submarine,Submarine,🚢,Submarines can dive thousands of feet underwater!
hotAirBalloon,Hot Air Balloon,🎈,Hot air balloons float because hot air rises!
skateboard,Skateboard,🛹,Skateboards were invented by surfers!
scooter,Scooter,🛴,Scooters are great for short trips!
bulldozer,Bulldozer,🚜,Bulldozers can push huge piles of dirt!
jetski,Jet Ski,🚤,Jet skis can zoom across water very fast!
cableCar,Cable Car,🚡,Cable cars hang from cables high in the air!
monorail,Monorail,🚝,Monorails run on a single rail track!
steamEngine,Steam Engine,🚂,Steam engines use water and fire to make power!
spaceship,Spaceship,🛸,Spaceships travel to other planets!
